confusion_pair,error_rate,error_rate_delta_vs_baseline,label,malignant_recall,num_cases,num_with_ground_truth,source_id,source_type,target_id,top1,top1_delta_vs_baseline,topk
keratoacanthoma->bcc,1.0,,Full DermAgent,0.0,1,1,eval_brief_20260328T103459Z,result_manifest,full_dermagent,0.0,,1.0
keratoacanthoma->nev,1.0,,Full DermAgent,,1,1,eval_brief_20260328T103459Z,result_manifest,full_dermagent,0.0,,0.0
lichen planus->ack,1.0,,Full DermAgent,0.0,2,2,eval_brief_20260328T103459Z,result_manifest,full_dermagent,0.0,,0.0
lichen simplex chronicus->ack,1.0,,Full DermAgent,0.0,4,4,eval_brief_20260328T103459Z,result_manifest,full_dermagent,0.0,,0.0
malignant melanoma->bcc,1.0,,Full DermAgent,1.0,2,2,eval_brief_20260328T103459Z,result_manifest,full_dermagent,0.0,,1.0
malignant melanoma->scc,1.0,,Full DermAgent,1.0,1,1,eval_brief_20260328T103459Z,result_manifest,full_dermagent,0.0,,1.0
malignant melanoma->sek,1.0,,Full DermAgent,,1,1,eval_brief_20260328T103459Z,result_manifest,full_dermagent,0.0,,1.0
none,0.473684,,Full DermAgent,0.538462,19,19,eval_brief_20260328T103459Z,result_manifest,full_dermagent,0.526316,,0.578947
scc->bcc,0.8,,Full DermAgent,1.0,15,15,eval_brief_20260328T103459Z,result_manifest,full_dermagent,0.2,,0.866667
seborrheic keratosis->nev,1.0,,Full DermAgent,,2,2,eval_brief_20260328T103459Z,result_manifest,full_dermagent,0.0,,0.0
squamous cell carcinoma (scc) cannot be ruled out based on the provided evidence.->bcc,1.0,,Full DermAgent,1.0,1,1,eval_brief_20260328T103459Z,result_manifest,full_dermagent,0.0,,1.0
squamous cell carcinoma (scc)->bcc,1.0,,Full DermAgent,1.0,3,3,eval_brief_20260328T103459Z,result_manifest,full_dermagent,0.0,,0.666667
squamous cell carcinoma->bcc,1.0,,Full DermAgent,1.0,6,6,eval_brief_20260328T103459Z,result_manifest,full_dermagent,0.0,,1.0
